date,mkt_rf,smb,hml,rmw,cma,mom,rf,mkt_rf_pct,smb_pct,hml_pct,rmw_pct,cma_pct,mom_pct,rf_pct,raw_period,source,frequency
1963-07-01,-0.0067,0.0,-0.0034000000000000002,-0.0001,0.0016,-0.0023,0.0001,-0.67,0.0,-0.34,-0.01,0.16,-0.23,0.01,19630701,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/ftp/F-F_Research_Data_5_Factors_2x3_daily_CSV.zip,daily
1963-07-02,0.0079,-0.0026,0.0026,-0.0007000000000000001,-0.002,0.0044,0.0001,0.79,-0.26,0.26,-0.07,-0.2,0.44,0.01,19630702,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/ftp/F-F_Research_Data_5_Factors_2x3_daily_CSV.zip,daily
1963-07-03,0.0063,-0.0017000000000000001,-0.0009,0.0018,-0.0034000000000000002,0.0038,0.0001,0.63,-0.17,-0.09,0.18,-0.34,0.38,0.01,19630703,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/ftp/F-F_Research_Data_5_Factors_2x3_daily_CSV.zip,daily
1963-07-05,0.004,0.0008,-0.0027,0.0009,-0.0034000000000000002,0.0006,0.0001,0.4,0.08,-0.27,0.09,-0.34,0.06,0.01,19630705,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/ftp/F-F_Research_Data_5_Factors_2x3_daily_CSV.zip,daily
1963-07-08,-0.0063,0.0004,-0.0018,-0.0029,0.0014000000000000002,-0.0045000000000000005,0.0001,-0.63,0.04,-0.18,-0.29,0.14,-0.45,0.01,19630708,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/ftp/F-F_Research_Data_5_Factors_2x3_daily_CSV.zip,daily
1963-07-09,0.0045000000000000005,0.0,0.0009,0.0014000000000000002,-0.0005,0.0044,0.0001,0.45,0.0,0.09,0.14,-0.05,0.44,0.01,19630709,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/ftp/F-F_Research_Data_5_Factors_2x3_daily_CSV.zip,daily
1963-07-10,-0.0018,0.0021,0.0001,0.0006,-0.0008,0.0016,0.0001,-0.18,0.21,0.01,0.06,-0.08,0.16,0.01,19630710,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/ftp/F-F_Research_Data_5_Factors_2x3_daily_CSV.zip,daily
1963-07-11,-0.0016,0.0015,-0.003,-0.0007000000000000001,0.0005,-0.0011,0.0001,-0.16,0.15,-0.3,-0.07,0.05,-0.11,0.01,19630711,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/ftp/F-F_Research_Data_5_Factors_2x3_daily_CSV.zip,daily
1963-07-12,-0.0012,0.0001,-0.0009,0.0011,0.0004,-0.0017000000000000001,0.0001,-0.12,0.01,-0.09,0.11,0.04,-0.17,0.01,19630712,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/ftp/F-F_Research_Data_5_Factors_2x3_daily_CSV.zip,daily
1963-07-15,-0.0062,0.0007000000000000001,-0.0002,0.0016,-0.0004,-0.0024,0.0001,-0.62,0.07,-0.02,0.16,-0.04,-0.24,0.01,19630715,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/ftp/F-F_Research_Data_5_Factors_2x3_daily_CSV.zip,daily
