code,name,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
US.IWD,Ishares Russell 1000 Value Etf,2012-01-03 00:00:00,50.097966489,49.989546095,50.283830022,49.881125701,0.0,0.00225,691532,0.0,-0.21641675620467615,50.097966489
US.IWD,Ishares Russell 1000 Value Etf,2012-01-04 00:00:00,49.81917119,49.950824526,50.012779037,49.594586087,0.0,0.00132,405668,0.0,-0.07745933305018808,49.989546095
US.IWD,Ishares Russell 1000 Value Etf,2012-01-05 00:00:00,49.710750795,50.175409628,50.229619825,49.393233926,0.0,0.00132,406122,0.0,0.4496124020597492,49.950824526
US.IWD,Ishares Russell 1000 Value Etf,2012-01-06 00:00:00,50.206386884,50.036011978,50.245108453,49.834659817,0.0,0.00228,700534,0.0,-0.2778206516568419,50.175409628
US.IWD,Ishares Russell 1000 Value Etf,2012-01-09 00:00:00,50.167665314,50.19864257,50.268341395,49.943080212,0.0,0.00158,485313,0.0,0.32502708663413316,50.036011978
US.IWD,Ishares Russell 1000 Value Etf,2012-01-10 00:00:00,50.748488855,50.709767286,50.856909249,50.632324147,0.0,0.00132,403764,0.0,1.0182042577889667,50.19864257
US.IWD,Ishares Russell 1000 Value Etf,2012-01-11 00:00:00,50.53939238,50.856909249,50.887886505,50.477437869,0.0,0.00164,504650,0.0,0.29016493443979735,50.709767286
US.IWD,Ishares Russell 1000 Value Etf,2012-01-12 00:00:00,50.988562585,50.949841016,51.042772783,50.570369636,0.0,0.00133,409337,0.0,0.1827318418919264,50.856909249
US.IWD,Ishares Russell 1000 Value Etf,2012-01-17 00:00:00,51.035028469,50.67879003,51.143448863,50.562625322,0.0,0.00194,596131,0.0,-0.5319957444320179,50.949841016
US.IWD,Ishares Russell 1000 Value Etf,2012-01-18 00:00:00,50.647812775,51.267357885,51.282846513,50.53939238,0.0,0.00082,252251,0.0,1.161369193407321,50.67879003
US.IWD,Ishares Russell 1000 Value Etf,2012-01-19 00:00:00,51.429988477,51.484198674,51.515175929,51.220892002,0.0,0.00105,321988,0.0,0.42296072578267113,51.267357885
US.IWD,Ishares Russell 1000 Value Etf,2012-01-20 00:00:00,51.352545338,51.546153185,51.561641813,51.282846513,0.0,0.00059,180077,0.0,0.12033694336451015,51.484198674
US.IWD,Ishares Russell 1000 Value Etf,2012-01-23 00:00:00,51.522920243,51.515175929,51.832692798,51.313823768,0.0,0.00121,370250,0.0,-0.060096154777684395,51.546153185
US.IWD,Ishares Russell 1000 Value Etf,2012-01-24 00:00:00,51.19765906,51.406755535,51.43773279,51.05826141,0.0,0.00131,401851,0.0,-0.210463018022938,51.515175929
US.IWD,Ishares Russell 1000 Value Etf,2012-01-25 00:00:00,51.259613571,51.708783776,51.809459857,51.004051213,0.0,0.0014,431300,0.0,0.5875263627449914,51.406755535
US.IWD,Ishares Russell 1000 Value Etf,2012-01-26 00:00:00,51.902391623,51.383522593,51.948857507,51.166681805,0.0,0.00128,393465,0.0,-0.6290250113191812,51.708783776
US.IWD,Ishares Russell 1000 Value Etf,2012-01-27 00:00:00,51.073750038,51.329312396,51.445477104,51.073750038,0.0,0.00103,315158,0.0,-0.10550113005951904,51.383522593
US.IWD,Ishares Russell 1000 Value Etf,2012-01-30 00:00:00,50.880142191,51.073750038,51.127960235,50.609091205,0.0,0.00144,442061,0.0,-0.4978877488721519,51.329312396
US.IWD,Ishares Russell 1000 Value Etf,2012-01-31 00:00:00,51.368033966,51.042772783,51.399011221,50.833676308,0.0,0.00166,509463,0.0,-0.06065200808038494,51.073750038
US.IWD,Ishares Russell 1000 Value Etf,2012-02-01 00:00:00,51.460965732,51.608107696,51.863670054,51.460965732,0.0,0.00132,406613,0.0,1.107570929587681,51.042772783
US.IWD,Ishares Russell 1000 Value Etf,2012-02-03 00:00:00,52.227652806,52.47547085,52.47547085,52.165698295,0.0,0.00097,296568,0.0,1.6806722678328894,51.608107696
US.IWD,Ishares Russell 1000 Value Etf,2012-02-06 00:00:00,52.227652806,52.398027712,52.421260653,52.181186923,0.0,0.00043,131769,0.0,-0.14757969151219075,52.47547085
US.IWD,Ishares Russell 1000 Value Etf,2012-02-07 00:00:00,52.297351631,52.51419242,52.622612814,52.080510843,0.0,0.00077,235192,0.0,0.22169671850720413,52.398027712
US.IWD,Ishares Russell 1000 Value Etf,2012-02-08 00:00:00,52.545169675,52.731033208,52.769754778,52.390283398,0.0,0.0009,274852,0.0,0.4129184473898817,52.51419242
US.IWD,Ishares Russell 1000 Value Etf,2012-02-09 00:00:00,52.816220661,52.676823011,52.854942231,52.413516339,0.0,0.00066,202566,0.0,-0.10280511058101509,52.731033208
US.IWD,Ishares Russell 1000 Value Etf,2012-02-10 00:00:00,52.219908492,52.281863003,52.305095945,52.065022215,0.0,0.00072,221349,0.0,-0.7497794768631539,52.676823011
US.IWD,Ishares Russell 1000 Value Etf,2012-02-13 00:00:00,52.669078697,52.622612814,52.738777522,52.429004967,0.0,0.00037,112156,0.0,0.6517552960583087,52.281863003
