model_id,sample_type,horizon_days,focus_variable,n,start_date,end_date,r2,adj_r2,rmse,robust_se
step1_bond_credit_main_effects,daily_hac,21,,2216,2017-06-22,2026-04-16,0.15289884302211554,0.14828458342895412,0.03944953869191383,hac
rate_only,daily_hac,21,,2342,2016-12-20,2026-04-16,0.003677504151186395,0.0032517253068066188,0.04177704421114105,hac
step2_step3_interaction_with_main_controls,daily_hac,21,r_x_d,2216,2017-06-22,2026-04-16,0.1534859920133781,0.1484884070434298,0.03944481808422987,hac
step3_rate_residual_incremental,daily_hac,21,r_x_d,2216,2017-06-22,2026-04-16,0.14214771725843056,0.13747489501925725,0.03963291653249252,hac
step2_step3_interaction_with_main_controls,daily_hac,21,r_x_vh,2216,2017-06-22,2026-04-16,0.1563009064846611,0.15131993999251792,0.03937918051225994,hac
step3_rate_residual_incremental,daily_hac,21,r_x_vh,2216,2017-06-22,2026-04-16,0.14617259619627654,0.14152169794587044,0.039539832186233546,hac
step2_step3_interaction_with_main_controls,daily_hac,21,r_x_vr,2216,2017-06-22,2026-04-16,0.15383005758713597,0.14883450388533426,0.039436801097409435,hac
step3_rate_residual_incremental,daily_hac,21,r_x_vr,2216,2017-06-22,2026-04-16,0.14181877214071892,0.13714415809881642,0.03964051446346788,hac
step2_step3_interaction_with_main_controls,daily_hac,21,r_x_g63,2216,2017-06-22,2026-04-16,0.15303853390373912,0.14803830726466027,0.039455241758143064,hac
step3_rate_residual_incremental,daily_hac,21,r_x_g63,2216,2017-06-22,2026-04-16,0.1417017437711482,0.13702649226195796,0.039643217218132,hac
step2_step3_interaction_with_main_controls,daily_hac,21,r_x_g126,2216,2017-06-22,2026-04-16,0.15366621915100953,0.1486696981923189,0.03944061885951657,hac
step3_rate_residual_incremental,daily_hac,21,r_x_g126,2216,2017-06-22,2026-04-16,0.14181553645987877,0.13714090479284224,0.03964058919356456,hac
step2_step3_interaction_with_main_controls,daily_hac,21,r_x_cs,2216,2017-06-22,2026-04-16,0.16083220138628507,0.15587798640809325,0.039273290323395896,hac
step3_rate_residual_incremental,daily_hac,21,r_x_cs,2216,2017-06-22,2026-04-16,0.1571718039624671,0.15258081968990678,0.039284325882714355,hac
step2_step3_interaction_with_main_controls,daily_hac,21,r_x_ce,2216,2017-06-22,2026-04-16,0.15292606777895978,0.14792517717093367,0.039457861257980294,hac
step3_rate_residual_incremental,daily_hac,21,r_x_ce,2216,2017-06-22,2026-04-16,0.14163896320569058,0.1369633697233793,0.03964466705102262,hac
step2_step3_interaction_with_main_controls,daily_hac,21,r_x_cg,2216,2017-06-22,2026-04-16,0.1533359076606814,0.148337436634155,0.03944831465224594,hac
step3_rate_residual_incremental,daily_hac,21,r_x_cg,2216,2017-06-22,2026-04-16,0.1430703399422426,0.13840254333729796,0.03961159813909503,hac
step2_step3_interaction_with_main_controls,daily_hac,21,r_x_hys,2216,2017-06-22,2026-04-16,0.16159668721896903,0.1566469855540492,0.03925539717068315,hac
step3_rate_residual_incremental,daily_hac,21,r_x_hys,2216,2017-06-22,2026-04-16,0.14603979820011748,0.14138817658341363,0.03954290693313628,hac
step2_step3_interaction_with_main_controls,daily_hac,21,r_x_hyr,2216,2017-06-22,2026-04-16,0.1642723850836474,0.15933848000012674,0.0391927068652146,hac
step3_rate_residual_incremental,daily_hac,21,r_x_hyr,2216,2017-06-22,2026-04-16,0.1563870145298475,0.1517917554169823,0.039302611193158116,hac
step2_step3_interaction_with_main_controls,daily_hac,21,r_x_lqs,2216,2017-06-22,2026-04-16,0.16561224029358157,0.16068624534526943,0.039161276997558496,hac
step3_rate_residual_incremental,daily_hac,21,r_x_lqs,2216,2017-06-22,2026-04-16,0.1500274379490958,0.14539753747491924,0.03945047441896556,hac
step2_step3_interaction_with_main_controls,daily_hac,21,d_x_vh,2216,2017-06-22,2026-04-16,0.15328321912191312,0.14828443703680183,0.03944954208219099,hac
step3_rate_residual_incremental,daily_hac,21,d_x_vh,2216,2017-06-22,2026-04-16,0.14219709579320616,0.13752454252471702,0.03963177586786458,hac
step2_step3_interaction_with_main_controls,daily_hac,21,d_x_vr,2216,2017-06-22,2026-04-16,0.15472900364032893,0.14973875706781492,0.03941584728210759,hac
step3_rate_residual_incremental,daily_hac,21,d_x_vr,2216,2017-06-22,2026-04-16,0.142036397187431,0.1373629685747434,0.03963548795186764,hac
step2_step3_interaction_with_main_controls,daily_hac,21,d_x_g63,2216,2017-06-22,2026-04-16,0.1560182759241716,0.15103564085923715,0.039385775771169494,hac
step3_rate_residual_incremental,daily_hac,21,d_x_g63,2216,2017-06-22,2026-04-16,0.1450484336113944,0.14039141191522408,0.03956585300657322,hac
