requested_start_date,actual_start_date,start_group,n_blocks,unique_selected_configs,switch_count,most_frequent_config,most_frequent_blocks,most_frequent_share
2017-06-28,2018-06-28,annual,32,7,9,joint_a0.50_ls0.50_lcrowd0.05_lcred0.25_li0.50_tilt0.50_tau1.00_eta0.05,8,0.25
2018-01-02,2018-06-28,annual,32,7,9,joint_a0.50_ls0.50_lcrowd0.05_lcred0.25_li0.50_tilt0.50_tau1.00_eta0.05,8,0.25
2018-06-28,2018-06-28,annual_block_phase_anchor,32,7,9,joint_a0.50_ls0.50_lcrowd0.05_lcred0.25_li0.50_tilt0.50_tau1.00_eta0.05,8,0.25
2019-01-02,2019-01-02,annual,30,7,13,joint_a0.50_ls0.50_lcrowd0.05_lcred0.25_li0.50_tilt0.50_tau1.00_eta0.05,8,0.26666666666666666
2020-01-02,2020-01-02,annual,26,6,11,joint_a0.50_ls0.50_lcrowd0.05_lcred0.25_li0.50_tilt0.50_tau1.00_eta0.05,8,0.3076923076923077
2021-01-04,2021-01-04,annual,22,5,10,joint_a0.50_ls0.25_lcrowd0.05_lcred0.25_li0.50_tilt0.50_tau1.00_eta0.05,8,0.36363636363636365
2022-01-03,2022-01-03,annual,18,5,10,joint_a0.50_ls0.25_lcrowd0.05_lcred0.25_li0.50_tilt0.50_tau1.00_eta0.05,8,0.4444444444444444
2018-07-30,2018-07-30,block_phase,32,7,9,joint_a0.50_ls0.50_lcrowd0.05_lcred0.25_li0.25_tilt0.50_tau0.75_eta0.05,9,0.28125
2018-08-29,2018-08-29,block_phase,31,8,11,joint_a0.50_ls0.25_lcrowd0.05_lcred0.25_li0.50_tilt0.50_tau1.00_eta0.05,8,0.25806451612903225
2018-09-28,2018-09-28,block_phase,31,8,14,joint_a0.50_ls0.50_lcrowd0.05_lcred0.25_li0.50_tilt0.50_tau1.00_eta0.05,8,0.25806451612903225
2018-10-29,2018-10-29,block_phase,31,7,10,joint_a0.50_ls0.25_lcrowd0.05_lcred0.25_li0.50_tilt0.50_tau1.00_eta0.05,8,0.25806451612903225
