date,portfolio,dependent_return,window,n_obs,alpha_daily,alpha_annualized,r2,beta_mkt_rf,beta_smb,beta_hml,beta_rmw,beta_cma,beta_mom
2017-12-20,G,G excess return,252,252,-2.8562382282805234e-06,-0.0007195140869532546,0.9249930079384794,1.0770719856095752,-0.1366417741849207,-0.3487719517183463,-0.08163931414367567,-0.16704623317486988,0.19313837494152394
2017-12-21,G,G excess return,252,252,-2.095717309460293e-06,-0.0005279818838677119,0.9249263435017118,1.077477489494814,-0.1363971275158394,-0.3485363128609179,-0.08361378315775353,-0.1679686112914961,0.1919965036439501
2017-12-22,G,G excess return,252,252,-4.394748980616149e-06,-0.0011068661479270991,0.924699193097672,1.077542054173002,-0.13702792110999892,-0.34717018620751244,-0.08390597705785462,-0.1700292180103226,0.19175841921043635
2017-12-26,G,G excess return,252,252,-8.084706575285224e-06,-0.002035280295168307,0.9248461076756844,1.0786943849882102,-0.1361787650432379,-0.3462861070347334,-0.08660116620358314,-0.178875411332214,0.18913418180702093
2017-12-27,G,G excess return,252,252,-2.1737294171356927e-05,-0.005462881564107236,0.9248477439061932,1.0789490123092358,-0.13640354530345164,-0.3461479446882976,-0.08967146770105747,-0.18167034586601105,0.18640815626223464
2017-12-28,G,G excess return,252,252,-2.914597491657754e-05,-0.007317984910628517,0.9239069842681609,1.0801432180084856,-0.13687339178273267,-0.3470722129968212,-0.08891594849394635,-0.17939266500539428,0.18690782706457848
2017-12-29,G,G excess return,252,252,-2.1275641040343924e-05,-0.00534717128905815,0.924022420509638,1.0781694625716471,-0.13683566672026323,-0.34714463708620863,-0.08807695212415965,-0.17768562966824447,0.18763357044380005
2018-01-02,G,G excess return,252,252,-5.036487623150406e-06,-0.0012683929859569343,0.9224927235018926,1.0857526482012616,-0.13738349112998965,-0.35099924710787855,-0.09898495999953931,-0.17758368250149506,0.18021672343984693
2018-01-03,G,G excess return,252,252,-4.755304442392959e-06,-0.0011976218465907795,0.9226833038921552,1.0856056456122833,-0.13765658724673863,-0.3510256450795298,-0.09983988680515607,-0.17774995720196937,0.18042817674990805
2018-01-04,G,G excess return,252,252,3.600540446196163e-06,0.0009077463115290119,0.9229320335282858,1.088369446955104,-0.13518451117425634,-0.35211907228274386,-0.1036523693947771,-0.18014773893176744,0.1771106474686592
2018-01-05,G,G excess return,252,252,-8.002624570695775e-07,-0.0002016458866116455,0.9238059285965934,1.087106607127083,-0.13237402557814906,-0.3505086446272328,-0.10103476718452707,-0.1802737669128533,0.1785560128473815
2018-01-08,G,G excess return,252,252,-3.025828024585499e-06,-0.0007622191790734867,0.9239635525408247,1.08382455767813,-0.1283842530503351,-0.35047831707483307,-0.09543611646764891,-0.17529642834520867,0.18180602634607262
2018-01-09,G,G excess return,252,252,-1.7412708051039785e-05,-0.004378427248947436,0.9224790772023383,1.0833892268404333,-0.12475541581691127,-0.3502210626134184,-0.09319005284306192,-0.17699959444946325,0.1794247803317765
2018-01-10,G,G excess return,252,252,-2.037297149251656e-05,-0.00512088445028791,0.9226650127845717,1.084126539458718,-0.12577249403688556,-0.35064534538613396,-0.0934248882576455,-0.17698398579096186,0.178896649303787
2018-01-11,G,G excess return,252,252,-2.2991017296119053e-05,-0.00577705125284822,0.9229854222413938,1.0843908891788254,-0.12391115276228677,-0.3521683944888921,-0.09477319885191039,-0.17860903847312437,0.17678451499761166
2018-01-12,G,G excess return,252,252,-1.8647305052353318e-05,-0.0046881408866285,0.9234380664601536,1.0837416393058066,-0.12437823552512528,-0.35420834239782917,-0.09627871457331393,-0.18055460687061844,0.17493814785838654
2018-01-16,G,G excess return,252,252,-1.4130091642995127e-05,-0.0035544760917586293,0.9236166569613837,1.083487913950251,-0.12453549044008007,-0.3536623942996257,-0.09615751009858188,-0.1821325157770658,0.174651925025744
2018-01-17,G,G excess return,252,252,-2.033622178145178e-05,-0.005111670717035222,0.9248440137124206,1.0826254259516768,-0.12177758579818031,-0.35095050367347513,-0.09956394083846135,-0.18813389430147195,0.17486600680804396
2018-01-18,G,G excess return,252,252,-2.0454431490582557e-05,-0.0051413074559878424,0.9248238847235665,1.0825958063199859,-0.12196480246960766,-0.3510618127846405,-0.09926161608514672,-0.18810701800739016,0.17487626732966677
2018-01-19,G,G excess return,252,252,-3.3611996762196396e-05,-0.008434593064880924,0.9240926176292993,1.0835877786290253,-0.12603527955864643,-0.3496459884665667,-0.10226961731804227,-0.19232279111149578,0.17192123087599517
2018-01-22,G,G excess return,252,252,-3.702148102756329e-05,-0.009286200358794572,0.9245884518807869,1.0824984575530647,-0.12534506836663564,-0.34972208922823034,-0.10206263249686993,-0.19276059606048618,0.17207117471581712
2018-01-23,G,G excess return,252,252,-4.090329241392643e-05,-0.010254896782100453,0.9249994648366904,1.0841412803942783,-0.12640556187089613,-0.35018693388933214,-0.10730595533003551,-0.19262605216104456,0.17109702821789347
2018-01-24,G,G excess return,252,252,-5.628656443704636e-05,-0.014084485797248747,0.9240024710676846,1.083301578491316,-0.12102717189840416,-0.3539310043019068,-0.10742204630004859,-0.1961911972429816,0.16939033002410347
