requested_start_date,actual_start_date,start_group,n_blocks,unique_selected_configs,switch_count,most_frequent_config,most_frequent_blocks,most_frequent_share
2017-06-28,2018-06-28,annual,32,12,14,joint_a0.50_ls0.25_lcrowd0.05_lcred0.25_li0.25_tilt0.50_tau0.75_eta0.03,7,0.21875
2018-01-02,2018-06-28,annual,32,12,14,joint_a0.50_ls0.25_lcrowd0.05_lcred0.25_li0.25_tilt0.50_tau0.75_eta0.03,7,0.21875
2018-06-28,2018-06-28,annual_block_phase_anchor,32,12,14,joint_a0.50_ls0.25_lcrowd0.05_lcred0.25_li0.25_tilt0.50_tau0.75_eta0.03,7,0.21875
2019-01-02,2019-01-02,annual,30,14,17,joint_a0.50_ls0.25_lcrowd0.05_lcred0.25_li0.25_tilt0.50_tau0.75_eta0.03,5,0.16666666666666666
2020-01-02,2020-01-02,annual,26,13,15,joint_a0.50_ls0.25_lcrowd0.05_lcred0.25_li0.25_tilt0.50_tau0.75_eta0.03,5,0.19230769230769232
2021-01-04,2021-01-04,annual,22,12,13,joint_a0.50_ls0.25_lcrowd0.05_lcred0.25_li0.25_tilt0.50_tau0.75_eta0.03,6,0.2727272727272727
2022-01-03,2022-01-03,annual,18,10,10,joint_a0.50_ls0.25_lcrowd0.05_lcred0.25_li0.25_tilt0.50_tau0.75_eta0.03,6,0.3333333333333333
2018-07-30,2018-07-30,block_phase,32,14,20,joint_a0.50_ls0.25_lcrowd0.05_lcred0.25_li0.25_tilt0.50_tau0.75_eta0.03,7,0.21875
2018-08-29,2018-08-29,block_phase,31,16,21,joint_a0.50_ls0.25_lcrowd0.05_lcred0.25_li0.25_tilt0.50_tau0.75_eta0.03,7,0.22580645161290322
2018-09-28,2018-09-28,block_phase,31,15,19,joint_a0.50_ls0.25_lcrowd0.05_lcred0.25_li0.25_tilt0.50_tau0.75_eta0.03,5,0.16129032258064516
2018-10-29,2018-10-29,block_phase,31,15,21,joint_a0.50_ls0.25_lcrowd0.05_lcred0.25_li0.25_tilt0.50_tau0.75_eta0.03,7,0.22580645161290322
