scheme,train_start,train_end,test_start,test_end,selected_config_id,train_selection_score,train_cagr,train_sharpe,train_max_drawdown,train_turnover
expanding,2017-06-28,2018-06-27,2018-06-28,2018-09-26,local_a0.50_ls0.50_lc0.25_tilt0.20_tau1.50_eta0.03,0.937962962962963,0.16903019549081133,1.2621794177157566,-0.09987433360641151,1.2705982001914864
expanding,2017-06-28,2018-09-26,2018-09-27,2018-12-27,local_a0.50_ls0.50_lc0.25_tilt0.30_tau1.50_eta0.03,0.9375,0.2048906406953328,1.590395989557203,-0.09975182265624727,1.8224464845507065
expanding,2017-06-28,2018-12-27,2018-12-28,2019-03-29,local_a0.50_ls0.50_lc0.15_tilt0.20_tau0.75_eta0.03,0.9435185185185185,0.05547076017564234,0.4318807622363984,-0.1969754486077424,1.781590108479076
expanding,2017-06-28,2019-03-29,2019-04-01,2019-06-28,local_a0.50_ls0.50_lc0.15_tilt0.30_tau0.75_eta0.03,0.8925925925925927,0.14425933053898743,0.9574005218236006,-0.19689749258788547,2.437496025810297
expanding,2017-06-28,2019-06-28,2019-07-01,2019-09-27,local_a0.50_ls0.50_lc0.15_tilt0.40_tau0.75_eta0.03,0.8814814814814815,0.14887417741511677,0.9924877593539468,-0.19682357166022613,3.2754889713898288
expanding,2017-06-28,2019-09-27,2019-09-30,2019-12-27,local_a0.50_ls0.50_lc0.15_tilt0.40_tau0.75_eta0.03,0.8856481481481481,0.13793180110177627,0.9241794016595708,-0.19682357166022613,3.4443834131927193
expanding,2017-06-28,2019-12-27,2019-12-30,2020-03-30,local_a0.50_ls0.50_lc0.15_tilt0.30_tau0.75_eta0.03,0.8851851851851851,0.16719143414970494,1.1255662090195224,-0.19689749258788547,2.5078303010031546
expanding,2017-06-28,2020-03-30,2020-03-31,2020-06-29,local_a0.67_ls0.50_lc0.05_tilt0.50_tau1.50_eta0.03,0.8398148148148149,0.0722777383932589,0.42706875921914245,-0.32333726302713595,3.0344323353686447
expanding,2017-06-28,2020-06-29,2020-06-30,2020-09-28,local_a0.67_ls0.50_lc0.05_tilt0.50_tau1.50_eta0.03,0.8351851851851851,0.13899201100483438,0.6790604672599111,-0.32333726302713595,3.0279124951786685
expanding,2017-06-28,2020-09-28,2020-09-29,2020-12-28,local_a0.67_ls0.50_lc0.05_tilt0.50_tau1.50_eta0.03,0.8347222222222221,0.16384741171238737,0.7808905209705388,-0.32333726302713595,2.9317039582571147
