scheme,train_start,train_end,test_start,test_end,selected_config_id,train_selection_score,train_cagr,train_sharpe,train_max_drawdown,train_turnover
expanding,2017-06-28,2021-12-31,2022-01-03,2022-04-01,local_a0.67_ls0.50_lc0.05_tilt0.50_tau1.50_eta0.03,0.8064814814814815,0.2232795882629024,1.0813352667477232,-0.32333726302713595,2.545994128244213
expanding,2017-06-28,2022-04-01,2022-04-04,2022-07-05,local_a0.67_ls0.50_lc0.05_tilt0.50_tau0.75_eta0.03,0.7847222222222222,0.20869827253009143,1.0282786775840742,-0.3220375080836384,3.462735246190534
expanding,2017-06-28,2022-07-05,2022-07-06,2022-10-03,local_a0.67_ls0.50_lc0.05_tilt0.50_tau0.75_eta0.05,0.8046296296296296,0.16822359131816733,0.8493774914263287,-0.3151432389668082,5.137999391449246
expanding,2017-06-28,2022-10-03,2022-10-04,2023-01-03,local_a0.67_ls0.50_lc0.05_tilt0.50_tau0.75_eta0.05,0.8018518518518519,0.15158740580730612,0.7768568597359281,-0.3151432389668082,5.281220536671768
expanding,2017-06-28,2023-01-03,2023-01-04,2023-04-04,local_a0.67_ls0.50_lc0.05_tilt0.50_tau1.00_eta0.05,0.8055555555555556,0.15468484876613098,0.7851376151818131,-0.31586025918799776,4.818746116214628
expanding,2017-06-28,2023-04-04,2023-04-05,2023-07-06,local_a0.50_ls0.50_lc0.05_tilt0.50_tau0.75_eta0.05,0.8023148148148147,0.17008138978469112,0.8483222283552734,-0.3163326028729787,5.130164032243313
expanding,2017-06-28,2023-07-06,2023-07-07,2023-10-04,local_a0.50_ls0.50_lc0.05_tilt0.50_tau1.00_eta0.05,0.8050925925925926,0.17362110929092145,0.8714701621065728,-0.31692142478250285,4.539194710651509
expanding,2017-06-28,2023-10-04,2023-10-05,2024-01-04,local_a0.50_ls0.50_lc0.05_tilt0.50_tau1.00_eta0.05,0.8050925925925926,0.16210450233401996,0.8339411368465894,-0.31692142478250285,4.4138502904271615
expanding,2017-06-28,2024-01-04,2024-01-05,2024-04-05,local_a0.50_ls0.50_lc0.05_tilt0.50_tau1.00_eta0.05,0.8106481481481481,0.172028453690106,0.884121148367614,-0.31692142478250285,4.3398911118191
expanding,2017-06-28,2024-04-05,2024-04-08,2024-07-08,local_a0.50_ls0.25_lc0.05_tilt0.50_tau1.00_eta0.05,0.8055555555555556,0.18418980948475694,0.9408369272666086,-0.3160508022827331,4.752476220660893
expanding,2017-06-28,2024-07-08,2024-07-09,2024-10-04,local_a0.50_ls0.25_lc0.05_tilt0.50_tau1.00_eta0.05,0.8050925925925926,0.1845188954464454,0.9530614838790303,-0.3160508022827331,4.693547159099027
expanding,2017-06-28,2024-10-04,2024-10-07,2025-01-06,local_a0.50_ls0.50_lc0.05_tilt0.50_tau1.00_eta0.05,0.8083333333333333,0.1850149176164142,0.9628262535143742,-0.31692142478250285,4.17121715972699
expanding,2017-06-28,2025-01-06,2025-01-07,2025-04-08,local_a0.50_ls0.50_lc0.05_tilt0.50_tau1.00_eta0.05,0.8064814814814815,0.18125967488673966,0.9549262801082122,-0.31692142478250285,4.175538908521033
expanding,2017-06-28,2025-04-08,2025-04-09,2025-07-10,local_a0.50_ls0.50_lc0.05_tilt0.50_tau1.00_eta0.05,0.8069444444444445,0.14705205125564502,0.7995003969481077,-0.31692142478250285,4.203396743143492
expanding,2017-06-28,2025-07-10,2025-07-11,2025-10-08,local_a0.50_ls0.50_lc0.05_tilt0.50_tau1.00_eta0.05,0.8055555555555556,0.18147088565192093,0.937241226592494,-0.31692142478250285,4.195968206836338
expanding,2017-06-28,2025-10-08,2025-10-09,2026-01-08,local_a0.50_ls0.50_lc0.05_tilt0.50_tau1.00_eta0.05,0.8009259259259259,0.1853803889934338,0.9635290844956743,-0.31692142478250285,4.141934589854525
expanding,2017-06-28,2026-01-08,2026-01-09,2026-04-10,local_a0.50_ls0.50_lc0.05_tilt0.50_tau1.00_eta0.05,0.8018518518518519,0.1839272658297222,0.9641236466727757,-0.31692142478250285,4.084705972102649
expanding,2017-06-28,2026-04-10,2026-04-13,2026-05-15,local_a0.50_ls0.50_lc0.05_tilt0.50_tau1.00_eta0.05,0.8027777777777777,0.18038488218544613,0.954145578398554,-0.31692142478250285,4.112833672909106
rolling,2021-01-04,2021-12-31,2022-01-03,2022-04-01,local_a0.50_ls0.25_lc0.05_tilt0.40_tau0.75_eta0.03,0.8185185185185185,0.3198587568877225,2.273652483316191,-0.04513118776176883,1.8888157291526992
rolling,2021-04-06,2022-04-01,2022-04-04,2022-07-05,local_a0.50_ls0.50_lc0.25_tilt0.50_tau0.75_eta0.03,0.8902777777777778,0.1641460327801776,1.1933662793672664,-0.08494763225709523,2.459222310578322
rolling,2021-07-06,2022-07-05,2022-07-06,2022-10-03,local_a0.67_ls0.50_lc0.25_tilt0.50_tau0.75_eta0.03,0.8199074074074074,-0.03663442591544375,-0.11862861402650114,-0.16285388035127824,3.3048701381691847
rolling,2021-10-04,2022-10-03,2022-10-04,2023-01-03,local_a0.50_ls0.50_lc0.05_tilt0.50_tau0.75_eta0.10,0.7981481481481482,-0.06028254647168363,-0.18426164772484244,-0.176168768574951,8.568061258602867
rolling,2022-01-03,2023-01-03,2023-01-04,2023-04-04,local_a0.67_ls0.50_lc0.25_tilt0.50_tau0.75_eta0.10,0.799537037037037,-0.08303844915980851,-0.2446836901347929,-0.17450767404879908,10.034596101057982
rolling,2022-04-04,2023-04-04,2023-04-05,2023-07-06,local_a0.50_ls0.50_lc0.05_tilt0.50_tau1.00_eta0.10,0.7847222222222222,0.011866586543700874,0.16949332874952477,-0.17519185212759625,8.856699342896757
rolling,2022-07-06,2023-07-06,2023-07-07,2023-10-04,local_a0.67_ls0.50_lc0.05_tilt0.40_tau1.50_eta0.03,0.8300925925925926,0.19175961609311054,0.9811012084069884,-0.17328202933616432,2.617357463146594
rolling,2022-10-04,2023-10-04,2023-10-05,2024-01-04,local_a0.50_ls0.25_lc0.05_tilt0.20_tau0.75_eta0.03,0.8990740740740742,0.2146089358994301,1.1948553442974734,-0.08206778024600081,1.4513360725253157
rolling,2023-01-04,2024-01-04,2024-01-05,2024-04-05,local_a0.50_ls0.50_lc0.15_tilt0.50_tau1.50_eta0.03,0.8430555555555556,0.274072174795815,1.8899187788575105,-0.09546312219215003,1.8481388541072317
rolling,2023-04-05,2024-04-05,2024-04-08,2024-07-08,local_a0.50_ls0.25_lc0.15_tilt0.20_tau1.50_eta0.03,0.788888888888889,0.27972706614452636,2.1977671436111605,-0.09651842545690503,0.9276110106584791
rolling,2023-07-07,2024-07-08,2024-07-09,2024-10-04,local_a0.50_ls0.25_lc0.25_tilt0.20_tau1.50_eta0.10,0.8402777777777777,0.2695100232744545,2.257070353906146,-0.09534130935119511,1.3895226558444156
