method_label,n_days,start_date,end_date,total_return,cagr,ann_vol,sharpe,sortino,max_drawdown,calmar,annual_turnover,avg_g_weight,final_wealth,static_g_weight,ann_excess_vs_smooth
Static G/D 0% G,2233,2017-06-28,2026-05-15,1.82173751364711,0.124195907838754,0.17528690177644998,0.7560682458145882,0.8586911079369187,-0.3671295816808853,0.33828902391937193,0.0,0.0,2.82173751364711,0.0,-0.06820233769979422
Static G/D 1% G,2233,2017-06-28,2026-05-15,1.8437011081998684,0.1251800229230584,0.17535370907192624,0.7608388309351992,0.8649368634554152,-0.36643153520441174,0.3416191318065118,0.0,0.009999999999999998,2.8437011081998684,0.01,-0.06721822261548982
Static G/D 2% G,2233,2017-06-28,2026-05-15,1.8657785204166668,0.12616246546749466,0.17543333787062207,0.7655498282744948,0.8698807420183209,-0.36578912211605863,0.3449049133491331,0.0,0.019999999999999997,2.865778520416667,0.02,-0.06623578007105357
Static G/D 3% G,2233,2017-06-28,2026-05-15,1.88796974914609,0.12714322954502322,0.17552577072277767,0.7702003631366113,0.8758948642845232,-0.36514629420906897,0.34819805530389913,0.0,0.03,2.88796974914609,0.03,-0.06525501599352501
Static G/D 4% G,2233,2017-06-28,2026-05-15,1.9102747863556795,0.1281223092340078,0.175630987412454,0.7747896030499032,0.8821961347254607,-0.36450305150420537,0.3514985915900614,0.0,0.039999999999999994,2.9102747863556795,0.04,-0.06427593630454043
Static G/D 5% G,2233,2017-06-28,2026-05-15,1.9326936170785394,0.1290996986182691,0.17574896497952192,0.7793167584603271,0.8865277518268778,-0.3638593940226631,0.3548065564310484,0.0,0.049999999999999996,2.9326936170785394,0.05,-0.06329854692027914
Static G/D 6% G,2233,2017-06-28,2026-05-15,1.9552262193603775,0.13007539178714578,0.17587967774454227,0.7837810833430244,0.8911133313407807,-0.3632153217860683,0.35812198435769577,0.0,0.06,2.9552262193603775,0.06,-0.06232285375140245
Static G/D 7% G,2233,2017-06-28,2026-05-15,1.9778725642066073,0.13104938283554435,0.17602309733647467,0.7881818757312111,0.897155736336485,-0.3625708348164788,0.3614449102114823,0.0,0.07,2.9778725642066073,0.07,-0.06134886270300388
Static G/D 8% G,2233,2017-06-28,2026-05-15,2.0006326155298875,0.13202166586399744,0.17617919272314544,0.7925184781617959,0.9020267003528559,-0.36192593313638677,0.36477536914782754,0.0,0.07999999999999999,3.0006326155298875,0.08,-0.06037657967455079
Static G/D 9% G,2233,2017-06-28,2026-05-15,2.0235063300981024,0.1329922349787256,0.1763479302443995,0.7967902780374378,0.9073340301106069,-0.3612806167687169,0.3681133966394438,0.0,0.08999999999999998,3.0235063300981024,0.09,-0.05940601055982264
Static G/D 10% G,2233,2017-06-28,2026-05-15,2.0464936574822508,0.1339610842916834,0.1765292736478546,0.8009967079050574,0.9121137685784819,-0.3606348857368269,0.37145902847968354,0.0,0.09999999999999999,3.0464936574822508,0.1,-0.05843716124686482
Static G/D 11% G,2233,2017-06-28,2026-05-15,2.0695945400050664,0.13492820792062332,0.17672318412717064,0.8051372456511057,0.9171999751594242,-0.3599887400645094,0.37481230078597566,0.0,0.11,3.0695945400050664,0.11,-0.05747003761792491
Static G/D 12% G,2233,2017-06-28,2026-05-15,2.0928089126896756,0.13589359998914663,0.1769296203627413,0.8092114146141824,0.9227554935219165,-0.3593421797759917,0.37817325000327146,0.0,0.12,3.0928089126896756,0.12,-0.0565046455494016
Static G/D 13% G,2233,2017-06-28,2026-05-15,2.116136703208873,0.13685725462676634,0.17714853856471086,0.8132187836158797,0.9271845078779923,-0.3586952048959363,0.3815419129075645,0.0,0.13,3.116136703208873,0.13,-0.055540990911781885
Static G/D 14% G,2233,2017-06-28,2026-05-15,2.1395778318343734,0.1378191659689545,0.17737989251821387,0.8171589669109878,0.9315440824641078,-0.3580478154494404,0.3849183266094129,0.0,0.14,3.1395778318343734,0.14,-0.054579079569593736
Static G/D 15% G,2233,2017-06-28,2026-05-15,2.1631322113868396,0.13877932815720806,0.17762363363073214,0.8210316240584692,0.9363189130445458,-0.3574000114620387,0.38830252855755304,0.0,0.15000000000000002,3.1631322113868396,0.15,-0.05361891738134017
Static G/D 16% G,2233,2017-06-28,2026-05-15,2.1867997471857743,0.13973773533909228,0.17787971098145844,0.8248364597148522,0.9410191978564724,-0.35675179295970205,0.3916945565425,0.0,0.15999999999999998,3.1867997471857743,0.16,-0.052660510199455945
Static G/D 17% G,2233,2017-06-28,2026-05-15,2.2105803370003723,0.1406943816683106,0.17814807137255512,0.8285732233519324,0.9458414120710176,-0.3561031599688377,0.39509444870026617,0.0,0.16999999999999998,3.2105803370003723,0.17,-0.05170386387023762
Static G/D 18% G,2233,2017-06-28,2026-05-15,2.2344738710002128,0.14164926130475042,0.17842865938219113,0.8322417089008863,0.9509381786210451,-0.35545411251629044,0.39850224351605623,0.0,0.17999999999999997,3.2344738710002128,0.18,-0.05074898423379781
Static G/D 19% G,2233,2017-06-28,2026-05-15,2.2584802317067156,0.14260236841454588,0.17872141741923983,0.8358417543251212,0.9552719614612535,-0.35480465062934496,0.401917979828057,0.0,0.18999999999999997,3.2584802317067156,0.19,-0.04979587712400235
Static G/D 20% G,2233,2017-06-28,2026-05-15,2.2825992939447395,0.14355369717012834,0.17902628577951762,0.839373241124365,0.9602576578079861,-0.35415477433572207,0.40534169683124527,0.0,0.19999999999999998,3.2825992939447395,0.2,-0.04884454836841989
Static G/D 21% G,2233,2017-06-28,2026-05-15,2.3068309247947925,0.14450324175028717,0.17934320270344242,0.8428360937726797,0.9655689524036548,-0.3535044836635831,0.4087734340812646,0.0,0.20999999999999996,3.3068309247947925,0.21,-0.04789500378826106
Static G/D 22% G,2233,2017-06-28,2026-05-15,2.331174983545448,0.14545099634022107,0.17967210443498943,0.8462302790932468,0.9692294838253626,-0.3528537786415278,0.4122132314983314,0.0,0.22,3.331174983545448,0.22,-0.04694724919832716
Static G/D 23% G,2233,2017-06-28,2026-05-15,2.3556313216464195,0.14639695513159867,0.1800129252818215,0.8495558055729042,0.9738855292874873,-0.35220265929859706,0.4156611293712109,0.0,0.23,3.3556313216464195,0.23,-0.04600129040694956
